"rcvdSinrDl:vector MainTest.ue[0].cellularNic.nrChannelModel[0] ($numUEs=3, #0 - UDPDownlink-0-20240718-10:23:11-9555)",
7.4005625,16.63458914198099587
7.4501875,23.50515599567999905
7.5001875,22.53703307240599671
7.5005625,20.50556033196399843
7.5501875,23.51778842265499482
7.6004375,22.78133994866499978
7.6501875,19.9770017132729975
7.7001875,18.381112244594
7.7005625,13.81916230419199813
7.7501875,23.54299623429099585
7.8001875,19.40771219643699643
7.8005625,22.16156550411999847
7.8501875,23.55557122688799855
7.9001875,21.48076573635599821
7.9501875,20.70609133483599597
8.0004375,19.57408177761799797
8.0501875,22.77896289259399501
8.1001875,17.50119440291899757
8.1005625,16.93475493395699512
8.1501875,23.59317818176700135
8.2001875,20.02827442210299572
8.2501875,20.57478613071399558
8.3001875,24.51550998520599467
8.3501875,19.21695512719299603
8.4004375,21.98551895576400018
8.4501875,25.43498912713899775
8.5001875,21.16376076880199965
8.5501875,19.73723537207600025
8.5505625,21.54271320911099956
8.6001875,10.48766548003800021
8.6005625,18.19551809489599485
8.6501875,23.8293753504669964
8.7001875,21.26065342768900016
8.7501875,25.50642353330999862
8.8004375,18.94574235188400018
8.8501875,23.99483191819599875
8.9001875,22.45705124621599672
8.9501875,24.99809987645299705
9.0001875,22.03445714767099866
9.0501875,21.92492731381300066
9.1001875,21.99163444237100145
9.1501875,22.54063286056300077
9.2004375,15.83829715650799835
9.2008125,21.54602684249899613
9.2501875,23.90340263449199642
9.3001875,16.6793080458519966
9.3005625,18.97676267398299633
9.3501875,23.91566337399699895
9.4001875,27.38787864103299785
9.4501875,16.69532623381299877
9.4505625,21.65365246808799772
9.5001875,20.45857914851600147
9.5501875,22.57237856009799501
9.6004375,18.28922146526799957
9.6008125,25.64936789405700057
9.6501875,33.28110825508899482
9.7001875,27.85816798465999955
9.7501875,31.8488545611429997
9.8001875,32.418168849854993
9.8501875,36.0013911647750005
9.9001875,35.07236550648299545
9.9501875,35.85502067335399077
10.0004375,33.90978550957099445
10.0501875,36.29947212144699607
10.1001875,28.70960187567499835
10.1501875,34.85140024888599427
10.2001875,29.30342937805099965
10.2501875,30.51769819051499852
10.3001875,34.43507205739000187
10.3501875,30.47022302199399477
10.4004375,30.345948184915997
10.4501875,29.3743696708040004
10.5001875,33.10939366759698987
10.5501875,31.35799838707600157
10.6001875,31.16293718298799562
10.6501875,32.04156976605999305
10.7001875,32.69270394909399602
10.7501875,29.22487070643099815
10.8004375,28.2660858281169992
10.8008125,32.78750235605698992
10.8501875,26.56318627355399532
10.9001875,28.34012014295100087
10.9501875,24.71706473212800137
11.0001875,22.4196832879219982
11.0501875,22.84730951844999668
11.1001875,26.59577889137599972
11.1501875,20.65461603322999897
11.2004375,23.94616481010099552
11.2501875,29.90129279402099607
11.3001875,15.7445363245479974
11.3005625,22.33398205528299472
11.3501875,26.62229119244999952
11.4001875,28.25960134845799827
11.4501875,22.74335897847299737
11.5001875,21.30736791577000125
11.5501875,27.3658842065269993
11.6004375,23.79597322434700135
11.6501875,23.86006184041099932
11.7001875,21.76918209779299921
11.7501875,24.115947069501999
11.8001875,27.76519766687599845
11.8501875,26.44249950234399892
11.9001875,23.47109139450599705
11.9501875,23.41497187828699807
12.0004375,25.96369301065899992
12.0501875,35.7344454443120013
12.1001875,30.35796061065600062
12.1501875,26.45475512205700127
12.2001875,32.9493622327070027
12.2501875,28.58997453804699502
12.3001875,28.55276213751199765
12.3501875,29.30027914191699512
12.4004375,28.40508746458299767
12.4501875,30.59278225926799865
12.5001875,24.90293481706199672
12.5501875,30.12724460327400052
12.6001875,28.92993043291599507
12.6501875,27.82242327659799477
12.6505625,29.43948837050599805
12.7001875,29.0379418041080014
12.7501875,30.86618517838400052
12.8004375,27.48360962727799962
12.8501875,28.0644410915399972
12.9001875,32.6347856623189897
12.9501875,28.88759781726199795
13.0001875,18.93169198051399597
13.0005625,32.3709686351989915
13.0501875,31.75903581611699865
13.1001875,32.28246856743800195
13.1501875,32.53596658447199265
13.2004375,27.86669956056199727
13.2501875,27.8679258904079957
13.3001875,25.5006794405639993
13.3501875,19.11325133371099828
13.4001875,22.23718981633799522
13.4501875,25.92755036662200032
13.5001875,27.23916917531199987
13.5501875,23.0008719860749976
13.5505625,24.25546195696099962
13.6004375,23.66977564994299842
13.6501875,23.60424837253199815
13.7001875,22.04687528284299696
13.7501875,24.62485166944799875
13.8001875,23.04609837155700082
13.8501875,21.34131145753600113
13.9001875,22.57908958815699652
13.9005625,22.09074936081899652
13.9501875,26.573877404004996
14.0004375,25.54927361561799857
14.0501875,23.38977372377199502
14.1001875,25.72548562216299915
14.1501875,25.89506786384399805
14.2001875,27.04410762831899707
14.2501875,25.07693313625999555
14.3001875,25.61261866010299562
14.3501875,24.6242161399819962
14.4004375,26.79606402602399835
14.4501875,28.34622367937900112
14.5001875,23.362374371788995
14.5501875,21.830421371238998
14.6001875,29.1005315285120004
14.6501875,21.70464404789599645
14.7001875,20.03538723227799772
14.7501875,22.13831025871899518
14.8004375,26.79395471469899795
14.8501875,22.32517184109699556
14.9001875,21.4230714197639997
14.9501875,26.4076058531559993
15.0001875,25.51111092396799752
15.0501875,22.54374112179500135
15.1001875,25.6904155412909957
15.1501875,15.91988482599299806
15.1505625,23.8825279634720004
15.2004375,22.67494997962899807
15.2008125,24.16099785762200002
15.2501875,26.16732208489899837
15.3001875,21.82488939869600121
15.3501875,25.07105620551499915
15.4001875,25.92036440716999825
15.4501875,26.70176472407700165
15.5001875,18.65635319161399501
15.5005625,25.51241108146199807
15.5501875,26.19873953066899462
15.6004375,18.9572487794970001
15.6501875,18.47480021178299828
15.6505625,24.81633953292299557
15.7001875,26.97546212504399667
15.7501875,20.27076653627099737
15.8001875,26.63745486821499487
15.8501875,21.13536556727299845
15.8505625,24.83702610700599667
15.8509375,24.83702610700599667
15.8513125,24.83702610700599667
15.9001875,28.81084193157499827
15.9501875,23.72819789760999487
16.0004375,28.19341428413999737
16.0501875,24.71407327835499492
16.1001875,23.46223477234099862
16.1501875,24.36185550038999985
16.2001875,25.45348719172299912
16.2501875,28.59313472424399535
16.3001875,25.8830869218849954
16.3501875,25.74482043772099607
16.4004375,27.06217328704899915
16.4501875,20.40993355733699835
16.4505625,24.89817551181899792
16.5001875,18.21535733178299657
16.5005625,19.72467030941099597
16.5009375,24.9082317398739973
16.5501875,27.18248078888699827
16.6001875,20.39925659386899775
16.6005625,24.09702446473799845
16.6501875,27.19249769100199632
16.7001875,21.94004718599899908
16.7005625,22.8643506269979965
16.7501875,27.20247502030699837
16.8004375,21.89090845149999602
16.8501875,26.02581106215599495
16.9001875,19.45894979811199471
16.9501875,20.87497920864899462
17.0001875,25.17873065348399552
17.0501875,20.22094092028400063
17.1001875,12.51101400531799962
17.1005625,23.95815673940399637
17.1501875,22.67247456261100062
17.2004375,22.35078416360299501
17.2501875,21.8733078782139997
17.3001875,19.02965506190999878
17.3501875,21.24089231563500127
17.4001875,20.76344793832100058
17.4501875,21.51012756435099495
17.5001875,21.89844434292700007
17.5501875,20.65286475768299815
17.6004375,24.94229470031899602
17.6501875,20.95367156755199995
17.7001875,14.81883779385399785
17.7005625,17.29130545337199713
17.7501875,22.73050833745499932
17.8001875,19.55479558898100113
17.8501875,18.62194938881300025
